Index,Deflection_nm,Excitation
203,0.0238,79.38161073318986
204,0.02686,80.13955669255377
205,0.02686,80.8848476869087
206,0.03021,81.61736602616699
207,0.03448,82.33699603719124
208,0.03693,83.04362408206045
209,0.038759999999999996,83.73713857601487
210,0.0412,84.41743000507645
211,0.04456,85.08439094334231
212,0.047909999999999994,85.73791606994871
213,0.051570000000000005,86.3779021857022
214,0.055240000000000004,87.00424822937613
215,0.05798,87.61685529366942
216,0.05981,88.21562664082504
217,0.06439,88.80046771790605
218,0.06653,89.37128617172675
219,0.07141,89.92799186343612
220,0.07355,90.47049688275189
221,0.07507,90.9987155618426
222,0.07873999999999999,91.51256448885553
223,0.08087000000000001,92.01196252108836
224,0.08392000000000001,92.49683079780262
225,0.08667,92.96709275267659
226,0.09094,93.42267412589622
227,0.09186,93.86350297588136
228,0.09520999999999999,94.28950969064636
229,0.09583,94.70062699879253
230,0.09949,95.09678998013112
231,0.1031,95.47793607593486
232,0.1062,95.8440050988169
233,0.10740000000000001,96.19493924223484
234,0.1102,96.53068308961933
235,0.1138,96.8511836231248
236,0.11570000000000001,97.15639023200163
237,0.1178,97.44625472058821
238,0.1199,97.72073131592161
239,0.1215,97.97977667496556
240,0.12329999999999999,98.22334989145493
241,0.1257,98.45141250235527
242,0.1285,98.66392849393648
243,0.1315,98.86086430745995
244,0.1346,99.04218884447779
245,0.13369999999999999,99.20787347174361
246,0.1343,99.35789202573407
247,0.1379,99.49222081678046
248,0.1392,99.61083863280946
249,0.1401,99.71372674269287
250,0.14100000000000001,99.80086889920543
251,0.1419,99.8722513415904
252,0.1422,99.92786279773269
253,0.1422,99.96769448593868
254,0.14250000000000002,99.99174011632304
255,0.14400000000000002,99.99999589180204
256,0.145,99.99246050869299
257,0.1453,99.96913515692022
258,0.1447,99.9300235198272
259,0.1456,99.87513177359483
260,0.1453,99.80446858626615
261,0.1468,99.71804511637758
262,0.1447,99.61587501119689
263,0.1443,99.49797440456808
264,0.1447,99.36436191436368
265,0.1434,99.21505863954478
266,0.1437,99.05008815682923
267,0.14250000000000002,98.86947651696867
268,0.1434,98.67325224063477
269,0.1407,98.46144631391543
270,0.1385,98.23409218342182
271,0.1376,97.99122575100674
272,0.1358,97.73288536809524
273,0.13490000000000002,97.45911182962858
274,0.13119999999999998,97.16994836762214
275,0.1318,96.8654406443387
276,0.1266,96.54563674507767
277,0.1276,96.2105871705821
278,0.1254,95.86034482906378
279,0.1236,95.49496502784855
280,0.1202,95.1145054646427
281,0.1172,94.71902621842165
282,0.11259999999999999,94.30858973994293
283,0.112,93.88326084188442
284,0.1102,93.44310668860969
285,0.10740000000000001,92.98819678556195
286,0.1019,92.5186029682884
287,0.10070000000000001,92.03439939109651
288,0.09766,91.53566251534413
289,0.09491,91.02247109736555
290,0.09033,90.4949061760347
291,0.08606,89.95305105996846
292,0.08301,89.39699131437098
293,0.07782,88.82681474752218
294,0.07477,88.2426113969116
295,0.07111,87.64447351502068
296,0.06592,87.03249555475475
297,0.06042,86.40677415452804
298,0.05707,85.76740812300324
299,0.05554,85.11449842348844
300,0.047299999999999995,84.44814815799404
301,0.04486,83.7684625509515
302,0.039369999999999995,83.07554893259734
303,0.03601,82.36951672202437
304,0.0296,81.65047740990335
305,0.02686,80.91854454087685
306,0.02075,80.17383369562985
307,0.01801,79.41646247263778
308,0.01343,78.64655046959636
309,0.009155,77.86421926453613
310,0.003662,77.06959239662335
311,0.0,76.26279534665208
312,-0.0045780000000000005,75.4439555172292
313,-0.006714,74.61320221265609
314,-0.01099,73.77066661850988
315,-0.0174,72.91648178092795
316,-0.02136,72.05078258559811
317,-0.02411,71.17370573645881
318,-0.02777,70.28538973411204
319,-0.03082,69.38597485395212
320,-0.03387,68.47560312401501
321,-0.03754,67.55441830255025
322,-0.04028,66.62256585531985
323,-0.04456,65.68019293262762
324,-0.046079999999999996,64.72744834608244
325,-0.049740000000000006,63.76448254509896
326,-0.05219,62.791447593140205
327,-0.054020000000000006,61.808497143705075
328,-0.05737,60.815786416064064
329,-0.05798,59.813472170748994
330,-0.06073,58.80171268479839
331,-0.06378,57.78066772676379
332,-0.061950000000000005,56.750498531480375
333,-0.061340000000000006,55.71136777460626
334,-0.06409000000000001,54.6634395469338
335,-0.06409000000000001,53.606879328478115
336,-0.065,52.541853962345954
337,-0.06592,51.46853162838856
338,-0.06653,50.38708181664491
339,-0.06531,49.29767530057681
340,-0.06592,48.20048411010206
